lastrevid,prediction
1167581471,GA
1168590141,GA
1170634832,C
1179198677,C
1166067023,GA
1166069728,GA
1169878221,C
1166331875,C
1177999052,C
1165539195,C
1165539457,C
1139764613,GA
1174226588,B
1166208775,GA
1176865405,C
1176013392,GA
1165900914,C
1166015214,C
1166067942,C
1166068863,C
1172371452,C
1166332292,Start
1170574167,C
1166067877,GA
1166068054,GA
1165749341,C
1166229409,C
1166231524,C
1166331634,C
1165892206,GA
1165905237,C
1167792390,GA
1096812581,C
1166067848,Start
1176908359,C
1166207363,Start
1166207484,Start
1166211277,C
1165899409,C
1166014997,C
1165537457,C
1166069601,C
1176314436,C
1165899878,C
1166332312,C
1172981633,C
1166334268,C
1096814754,C
1179139816,C
1165539092,C
1165539227,GA
1151357569,C
1177953234,C
1166181665,C
1174821802,B
1177552745,C
1174024956,C
1165906276,C
1166333841,Start
1166333844,Start
1148844011,C
1165892174,C
1179508395,C
1166210198,C
1171029165,C
1166229540,C
1166230024,C
1165902747,C
1166330411,C
1175879685,C
1158753175,C
1166067751,C
1166068936,C
1166069121,Start
1165891122,C
1171163639,C
1166015981,C
1165890317,C
1178871326,C
1124809704,C
1176796677,C
1165903654,C
1166331095,C
1166332371,Start
1179140073,GA
1166017104,C
1158607851,C
1166066473,C
1177535939,Start
1166181798,Start
1166209336,Start
1178216914,C
1166018304,C
1166018360,Start
1170831381,C
1167817987,C
1179478135,B
1175376595,C
1165645181,GA
1165647022,C
1178177223,Start
1174380579,C
1166182143,Start
1096820857,C
1174954255,Start
1166210982,C
1166231394,Start
1159488446,C
1176350576,C
1166207936,Start
1176316224,GA
1166209958,C
1166211355,C
1166211367,Start
1166334559,Start
1168359898,C
1166014498,C
1159024876,C
1166206561,Start
1166208941,C
1174332990,C
1173618968,C
1160192738,C
1165752232,GA
1175877401,GA
1174701601,C
1174453521,C
1165902860,C
1176638051,B
1165506221,C
1179534247,GA
1174449433,GA
1175739311,C
1165539078,C
1165539392,C
1165647899,C
1165748224,C
121078621,Stub
1165752432,C
1165891507,Start
1165893071,C
1165894869,C
1165894871,C
1165895575,C
1177372546,C
1176310844,GA
1172626458,GA
1165904534,C
1166366344,Start
1165507165,C
1174333266,C
1165539523,Start
1169781442,FA
1165647928,Start
1165892011,C
1165895355,C
1165904528,C
1177325246,B
1171106754,GA
1177395894,GA
1165751412,GA
1179083176,GA
1168917631,C
1165901331,GA
1178626084,B
1178738064,GA
1167268500,Start
1176053029,C
1179271887,GA
1165889278,Start
1165896477,C
1178021269,C
1165898446,C
1174403364,C
1165647916,C
1165895462,Start
1170380383,C
1165897826,C
1176004478,Start
1165750463,C
1178249435,C
1178323045,C
1180286497,GA
1178323179,GA
1178323433,GA
1178323552,C
1178323608,Start
1180266901,B
1178323891,C
1178324004,C
1179637642,C
1179637630,C
1178324371,C
1178324450,C
1179637652,C
1178324810,C
1178324863,C
1177430380,GA
1175488757,C
1167643705,C
1177353920,C
1175174815,C
1168069408,C
1177436311,C
1165537531,C
1165646491,C
1165752156,C
1167306947,GA
1165752375,C
1174601049,GA
1165895660,C
1165901173,C
1165901710,C
1165644646,C
1166077592,B
1165647875,C
1165750723,GA
1165751881,GA
1165752344,C
1165904083,C
1166367587,Start
1174449377,C
1177369669,GA
1165750344,GA
1169144269,C
1160022935,C
1173746973,C
1171521339,C
1179094111,C
1177025566,B
1180207100,GA
1174333044,C
1176908860,GA
1165650698,C
1165750347,C
1165752392,C
1165892419,C
1165894670,Start
1165897836,Start
1165900513,C
1165900948,C
1165896079,Start
1165902930,C
1151995274,C
1165752424,Start
1165898418,C
1178736535,B
1166985589,C
1174449500,C
1165536061,GA
1169729372,C
1175614529,C
1165748594,Start
1179078829,Start
1165750555,Start
1174931151,GA
1165751831,C
1165752404,C
1165892805,GA
1180165147,C
1165895576,Start
1165896076,C
1165900403,C
1165901362,Start
1165903695,GA
1166067174,C
1173734731,C
1177522012,C
1178791724,GA
1179572613,B
1178021676,C
1132854855,C
1166889274,GA
1178794263,C
1177264416,C
1179974772,C
1179839136,C
1162263927,C
1174449402,B
1174497536,B
1179224228,C
1165987701,C
1173488096,C
1166361496,C
1178123655,GA
1175877749,C
1153225829,C
1156414740,C
1173861091,C
1139304335,C
1164044104,C
1106236473,C
1173054325,C
1147369251,C
1166754568,C
1166337654,C
1152788081,GA
1160322253,GA
1172275090,C
1172274660,GA
1179549390,C
1160780528,GA
1160299409,C
1179696082,C
1173393974,C
1177291848,GA
1178205332,GA
1178919942,B
1178897696,C
1173050898,C
1163900551,GA
1176169080,GA
1179718337,C
1180082156,GA
1178906818,GA
1173813551,C
1179949854,B
1177976702,C
1179728906,C
1179981845,GA
1162036938,C
1176064323,GA
1179668677,B
1169856603,C
1174652133,C
1173659575,C
1176281297,C
1180210290,C
1180210361,C
1179261663,C
1175280540,GA
1174937558,C
1177358050,B
1169666739,B
1170788597,GA
1158938630,C
1176316536,GA
1154855908,GA
1176287706,GA
1096893627,C
1169570180,C
1177266886,C
1157359445,GA
1179850250,C
1169934143,GA
1172004828,C
1165071501,C
1179793089,GA
1165645327,C
1167180118,FA
1178267796,B
1156718858,C
1179358668,C
1157015772,C
1177239057,B
1165909758,C
1176437884,C
1165747967,C
1165750603,Start
1173362434,C
1176448939,C
1167993669,C
1166068542,Start
1165749058,C
1165894125,Start
1165897220,Start
1165898528,C
1165907888,C
1166015659,C
1172560462,C
1165645303,C
1165747767,C
1175835411,Start
1179071506,C
1165895696,C
1173604971,C
1166014855,C
1174777407,C
1177677430,GA
1165536050,GA
1177782424,GA
1165538814,C
1165646406,C
1177678413,C
1166069011,C
1166069104,C
1165747839,C
1176916498,GA
1176219624,GA
1165891079,C
1168694087,C
1162699600,C
1179288863,C
1171071401,C
1179970882,GA
1166330077,C
1176400827,C
1177693232,C
1166015341,C
1166015461,C
1165646846,C
1166067939,C
1175371914,C
1166205650,C
1166210407,C
1166329778,Start
1166332000,C
1171521990,GA
1166015001,Start
1165749806,C
1165906618,C
1173804261,C
1166180539,Start
1165904091,C
1166331407,Start
1178137595,C
1177935177,C
1175715312,C
1177692939,C
1166318848,C
1166209939,Start
1167478416,C
1165650865,C
1165752790,C
1165507102,C
1170627594,C
1166016960,C
1166180237,C
1165748930,C
1166210302,C
1166333449,C
1165645220,C
1166066419,C
1165748770,C
1165752352,C
1165892782,C
1166209624,GA
1165897415,C
1165897799,C
1165898343,C
1147296345,C
1165902851,C
1166330722,C
1166018683,C
1165746583,C
1165748791,Start
1165749637,C
1166180970,C
1165899035,C
1165752244,C
1165899813,C
1166067685,C
1176432893,C
1179826509,GA
1165903756,C
1179826831,C
1171228359,Start
1175103562,C
1165896687,C
1165898228,GA
1174175417,C
1159482487,C
1177663088,C
1165537303,Start
1165538273,C
1165538542,GA
1166067523,C
1174828145,C
1165752677,C
1165893913,C
1175126769,C
1165538753,GA
1166017778,C
1165647476,C
1165752160,Start
1147883955,C
1165894704,GA
1166230443,Start
1174650244,C
1173351183,GA
1166066067,C
1165647547,GA
1166067491,C
1152406083,GA
1166181414,C
1166181989,C
1166182002,C
1168263196,GA
1166330887,C
1152406324,GA
1179449810,C
1165539146,C
1165749900,C
1165897258,C
1165908556,C
1165538485,Start
1179094154,GA
1165902361,C
1166014483,C
1158715299,GA
1165892799,C
1165893800,Start
1166229700,Start
1166331366,Start
1165906798,C
1177521148,C
1165907855,C
1166333872,C
1174981561,C
1165646018,C
1166067731,C
1166318561,C
1165748951,GA
1165750207,C
1165892673,GA
1166208778,C
1166331796,GA
1167046564,C
1165908483,Start
1165506702,C
1165536842,Start
1174517840,C
1166066716,Start
1172822363,GA
1176909406,C
1165539118,C
1165750423,C
1171531945,C
1165900615,C
1166366801,Start
1165747278,GA
1178629718,B
1166206287,C
1165894665,C
1165889943,C
1166229359,C
1165898647,C
1178256204,GA
1166331723,C
1166066592,C
1159615350,C
1166678403,C
1166209934,Start
1167870143,C
1165536367,C
1173483943,GA
1099557078,C
1166207299,Start
1166207366,C
1166210003,Start
1166210825,Start
1166211006,C
1166211201,Start
1159322006,C
1166067001,C
1166068832,GA
1166966960,C
1166211178,Start
1128000718,GA
1165646883,C
1165893654,GA
1165894923,GA
1166331451,Start
1176616588,C
1165538627,C
1165645883,GA
1166206651,C
1166208496,Start
1165895393,C
1166210273,C
1166229080,C
1166330771,C
1165537951,C
1166068624,Start
1171834862,GA
1165893084,Start
1166208747,C
1165896958,C
1166211420,Start
1170495752,Start
1165909247,C
1165538091,Start
1165646853,Start
1165748877,Start
1166181828,C
1161208965,C
1165903556,C
1165904966,C
1166331740,Start
1166332988,Start
1174297869,GA
1178882174,C
1177852895,C
1142754609,GA
1177789483,GA
1151923786,C
1148922313,GA
1147578559,Start
1169860743,C
1147573042,Start
1147572638,C
1165536818,C
1166016717,Start
1165890098,C
1165903014,C
1165909698,C
1165536235,C
1154007587,GA
1165750775,C
1166206563,C
1166208075,C
1166229285,Start
1166229343,C
1166229614,C
1166230929,C
1166231453,GA
1166330672,C
1175744583,C
1166014726,Start
1166180758,C
1166182719,C
1165892179,C
1166208563,C
1166230250,C
1178972383,GA
1178974249,C
1165903066,C
1176429760,C
1176424417,C
1165896392,Start
1166367808,Start
1139938961,C
1166015895,C
1165536649,C
1166017466,Start
1165891808,Start
1166208586,C
1176568646,C
1165899212,C
1165901068,C
1167811122,GA
1165909727,C
1165508109,C
1177251917,C
1165538323,C
1166019016,GA
1165750602,C
1166182306,GA
1159321714,C
1174922965,C
1166181098,GA
1165750652,C
1166330240,GA
1174392174,C
1176697870,C
1166229514,B
1172560858,C
1165908617,C
1167870293,C
1166069032,C
1179510806,C
1166015125,GA
1166015727,Start
1165536510,C
1166016776,GA
1166066662,GA
1166067185,GA
1166067860,GA
1165748275,C
1165751252,C
1165751940,GA
1170904211,C
1165891647,C
1165891972,GA
1166206882,C
1173016395,C
1166332178,C
1180388080,GA
1166316475,C
1165539502,C
1166068073,GA
1165750244,C
1167923884,GA
1166015767,GA
1165894554,GA
1166209656,C
1166210194,GA
1166015909,Start
1166015937,C
1166016994,Start
1172396026,C
1166230302,C
1166333738,C
1165751077,C
1166333245,Start
1165508810,Start
1163828520,C
1165539217,C
1165647612,Start
1166206314,Start
1165903132,C
1171163261,Start
1166015683,C
1166017387,C
1166068550,Start
1166181431,Start
1166211180,C
1165897633,C
1165647979,GA
1165752788,C
1166205876,C
1166600349,C
1166014348,C
1166066317,Start
1165646580,C
1165748120,GA
1165894787,C
1165746928,Start
1176420942,Start
1165890009,C
1165892278,C
1165904944,C
1165905085,C
1166366940,Start
1165906977,C
1177681894,C
1165748512,C
1177681806,C
1169408706,C
1177681725,GA
1165907580,C
1165507792,C
1172484537,GA
1166180833,C
1165891215,C
1174207999,Start
1173640945,C
1165646375,C
1165646774,GA
1165747381,Start
1176800150,C
1166331839,Start
1170293677,C
1170076116,C
1176249122,C
1169497407,C
1179389372,C
1177544548,C
1149073808,C
1170718351,C
1166207249,C
1166209917,GA
1178985676,C
1166229611,C
1165899527,C
1166015145,C
1165535715,C
1174650298,C
1165749376,Start
1165901404,C
1165904792,Start
1165892019,C
1123349837,C
1166069402,C
1165890025,C
1177291499,C
1166211328,Start
1166330170,C
1165508385,C
1165536596,C
1166017560,Start
1179541645,C
1119890453,C
1165748965,Start
1165749309,C
1165750630,Start
1165889406,Start
1166207752,Start
1177682271,Start
1136860444,C
1166069425,Start
1177682191,Start
1166660192,GA
1165650947,GA
1165749222,C
1165749996,Start
1166231305,Start
1166333721,C
1165537922,Start
1165644840,C
1154649209,C
1165750560,GA
1165891768,C
1165897066,C
1166333435,C
1166333626,GA
1167137430,C
1170834862,C
1165537973,C
1170658553,C
1166068231,Start
1165750708,Start
1165751393,Start
1169876795,C
1165901948,C
1165903310,Start
1171862894,C
1166231241,Start
1177678374,C
1177678458,C
1178596045,B
1177678339,C
1177678742,C
1177679078,C
1177679163,C
1177679297,C
1177679559,GA
1177679677,C
1177679791,C
1165508267,C
1165508973,C
1165536803,Start
1166069049,Start
1166069157,Start
1166180115,Start
1165749951,C
1156602906,C
1165752036,C
1166205839,Start
1165892947,Start
1165897136,Start
1178977729,C
1174400758,Start
1175126774,C
1166333167,Start
1165507995,C
1165645312,GA
1166181533,Start
1165892768,Start
1165897333,Start
1165509126,Start
1166018817,C
1174829522,C
1170846063,C
1165749405,C
1165896470,GA
1166295175,GA
1177841551,GA
1178087132,B
1179428402,B
1180217310,B
1176512949,C
1179589108,B
1178410788,B
1169446350,C
1178335236,GA
1170910001,C
1168474887,GA
1165750994,GA
1174071256,GA
1165903515,GA
1165536132,GA
1177510699,C
1179875670,C
1179809930,C
1170185067,C
1174229756,C
1165644934,C
1165907685,C
1176834675,GA
1180305071,B
1172745724,C
1175821922,GA
1179454274,C
1179488712,GA
1169222184,GA
1179254544,C
1177280716,C
1176424888,GA
1178758225,C
1177505091,C
1167466374,C
1179389638,GA
1179394732,C
1174241400,C
1177660739,C
1173353040,GA
1178838343,GA
1178489148,C
1177244343,C
1175239336,C
1167521396,C
1173861097,GA
1165747287,GA
1165750669,GA
1165752085,GA
1165752238,C
1177460325,GA
1156068889,GA
1177987266,C
1179829055,C
1165900740,GA
1166697610,C
1172708011,C
1168473991,GA
1156692173,GA
1174550636,B
1165536445,GA
1179497734,B
1179648015,B
1174544416,GA
1153228707,C
1156479833,GA
1166868961,GA
1179319032,C
1179942719,C
1175681541,B
1170077662,C
1170077356,C
1165907293,C
1180304559,C
1165507618,C
1179094197,B
1178719419,GA
1177866038,C
1169715997,GA
1166707924,C
1178725149,C
1179425053,GA
1174189424,B
1178720570,B
1157295632,GA
1165508144,FA
1173413620,GA
1173849586,GA
1175910535,C
1179294248,C
1177219950,GA
1168066197,C
1178361633,GA
1174414933,GA
1179869211,B
1174071889,GA
1175862524,FA
1177586328,GA
1166021417,GA
1178377891,C
1178383165,GA
1178421099,GA
1176751092,GA
1178839292,B
1180199372,C
1178752812,C
1176952926,C
1170599095,C
1180200572,B
1173861107,C
1171042195,GA
1176157166,GA
1170631007,C
1176153577,B
1165647251,B
1177438454,GA
1172595598,GA
1179233256,B
1175678898,GA
1174556317,GA
1179593353,B
1178853597,C
1179332652,GA
1171032940,GA
1171252166,GA
1177382477,B
1171034381,C
1179236091,C
1179145176,GA
1178937481,GA
1163959817,GA
1171123929,GA
1177991635,C
1176690693,C
1171031974,GA
1178235005,GA
1177616054,B
1170711189,B
1177585819,C
1179430256,GA
1178014257,GA
1173859119,B
1180194462,GA
1174496172,C
1179744139,C
1179957057,C
1179757255,B
1179744116,GA
1179441897,C
1169413892,GA
1178063599,B
1177626538,GA
1178846004,B
1168873802,GA
1180118515,C
1169563523,GA
1178437314,B
1179807593,C
1165902176,C
1178415270,C
1179561526,C
1172342553,GA
1179153620,B
1177358355,B
1178078838,B
1178883405,C
1174287352,B
1177442626,B
1171627895,GA
1171872126,GA
1165535601,C
1179111552,GA
1174647684,GA
1163544880,C
1179005869,B
1179864938,GA
1177396644,GA
1171227998,GA
1178744240,B
1167755170,GA
1178383148,B
1172121555,GA
1177372643,B
1153510428,C
1165507876,C
1174484023,GA
1165748934,GA
1165891128,C
1177307341,C
1165506698,C
1170706905,C
1178359030,B
1165646516,GA
1149780003,C
1179527954,C
1174509543,C
1177526343,GA
1178994222,GA
1178592467,C
1165900775,GA
1173673839,GA
1159520767,GA
1175390586,GA
1169291965,GA
1179299161,GA
1174578038,B
1177312817,C
1174458059,C
1170881862,GA
1180313136,B
1177575943,C
1178937240,GA
1175247600,C
1175080281,C
1179681655,C
1179258365,B
1175855467,C
1179145314,C
1172868616,C
1179548518,B
1180049258,C
1174470644,GA
1179433251,C
1178958212,C
1159507730,GA
1172071425,GA
1178979228,B
1178588194,C
1164733004,GA
1174688927,GA
1179683514,B
1178589472,B
1177289221,GA
1176035320,GA
1177243023,C
1178759365,C
1176208121,C
1175862122,B
1177134336,GA
1179238670,C
1149702418,C
1165891333,GA
1166853429,C
1177449008,C
1171724568,GA
1176208763,GA
1176083269,GA
1179599198,C
1178652198,C
1180010030,B
1159549544,C
1172999624,C
1180165090,B
1174304781,GA
1180005720,B
1172828152,GA
1180173607,B
1176208812,C
1180002711,B
1180085334,C
1180154490,C
1164905117,C
1180263233,C
1180047183,GA
1171220794,FA
1179022910,C
1170540067,C
1180323828,B
1180001634,GA
1175968739,GA
1177336860,GA
1173084819,C
1168729180,C
1165750958,GA
1172456740,C
1173312400,GA
1176439090,C
1179744155,C
1174878659,B
1178718956,GA
1179453732,GA
1176792329,C
1176458270,C
1167422070,GA
1180331381,B
1178887010,GA
1178659661,GA
1176082234,C
1166618796,C
1178720091,GA
1180008873,C
1180172471,C
1179213529,B
1179744152,C
1180338330,B
1178720768,B
1178651905,C
1178302554,C
1178643077,C
1179393967,B
1177890773,B
1171546847,GA
1176340963,C
1180216871,GA
1171547272,C
1177494951,C
1171546489,GA
1175861325,C
1179104847,C
1180204261,C
1178782434,C
1180050515,C
1171548125,C
1177931836,B
1166315852,C
1176704297,GA
1177175656,C
1175918415,C
1167293850,C
1178799447,B
1177451248,C
1179568727,C
1177348436,GA
1177293421,C
1178582443,C
1179437843,B
1178330304,GA
1165697486,C
1179404939,GA
1180341200,C
1179345537,C
1177323050,GA
1177327324,B
1177345036,C
1178432843,C
1172224966,C
1179641397,C
1172835349,C
1166018135,B
1180012128,C
1176590131,B
1177552263,C
1178282600,C
1167974900,B
1179295878,C
1171859315,GA
1177341327,GA
1167281667,C
1178871550,GA
1179190836,GA
1179648667,B
1180260000,C
1180272920,GA
1177548633,C
1177413883,C
1179929589,GA
1178004993,C
1178039359,C
1174783628,C
1176867801,B
1180011366,C
1176675880,GA
1177483839,GA
1172755623,C
1169057850,B
1177388529,C
1172851390,C
1180331214,C
1177581479,C
1165891540,GA
1166269707,GA
1171386710,C
1174056588,C
1149780719,GA
1159368713,C
1178993811,C
1166697562,C
1170129363,C
1175598681,B
1177509560,GA
1160930607,C
1175445267,C
1177287946,GA
1179525194,C
1179467696,B
1159321931,GA
1175611431,GA
1180149234,GA
1177247770,C
1175655593,C
1174579013,C
1178676744,B
1165895471,C
1177575623,C
1179525315,GA
1165899844,C
1173281224,C
1174461950,C
1170627010,C
1179527273,C
1174297622,C
1179295929,C
1174025930,C
1167230915,GA
1179377501,GA
1172130399,C
1177411702,C
1179902483,C
1179732803,C
1177456170,GA
1165908350,C
1180034602,GA
1173521597,C
1180045047,GA
1180177125,GA
1177522093,GA
1178552436,GA
1177515849,GA
1177513757,B
1174773228,GA
1179101101,B
1178415491,GA
1178601233,B
1168739026,B
1165907393,C
1175860777,C
1179384738,C
1179431162,C
1174330463,C
1179239634,C
1165644966,GA
1165746824,C
1165895929,Start
1177333326,GA
1175860809,GA
1166181349,Start
1172087975,C
1176416186,GA
1166018502,Start
1168750600,GA
1159319010,GA
1166068568,Start
1175456767,C
1165748772,C
1165901574,GA
1170399951,C
1166017117,C
1166229453,Start
1166330035,C
1171397936,Start
1166332217,Start
1166332486,Start
1165889283,C
1166067788,GA
1176910436,GA
1178340984,FA
1177867207,C
1174842997,C
1176911018,C
1176911293,C
1176949608,C
1176911520,C
1170521905,C
1175520021,C
1176064355,C
1166017864,C
1179510944,Start
1167532068,GA
1166069162,C
1168583632,C
1170423379,GA
1166182680,Start
1178484245,B
1166230241,Start
1147906212,Start
1166015822,C
1170159607,C
1174461326,Start
1174460879,Start
1166210577,Start
1166330744,Start
1166231347,GA
1169568829,Start
1176597493,C
1166066057,C
1180174820,C
1166181423,Start
1171181941,GA
1177859778,C
1155653274,GA
1171181707,Start
1165538581,GA
1177649777,Start
1177405379,C
1178187768,GA
1168055768,GA
1167819680,C
1166067205,GA
1166180260,C
1171671272,C
1166229666,Start
1176437315,C
1166017010,GA
1171201658,GA
1175219849,GA
1177375214,C
1179308652,C
1171409652,Start
1177197993,GA
1166182496,Start
1166231380,C
1174669728,B
1174672755,C
1179419782,GA
1171181842,Stub
1166333694,Start
1166017258,C
1176024039,B
1166209038,C
1168688409,C
1176634628,GA
1166231341,C
1180095535,GA
1174801957,GA
1179565974,GA
1166069687,C
1170778322,C
1166182624,C
1166334136,C
1176006886,C
1180210381,GA
1166206852,C
1166208704,Start
1166211445,Start
1166205283,C
1172914723,GA
1171329387,C
1166332359,C
1165647821,C
1166205373,Start
1166208587,C
1166208808,GA
1151731889,C
1166067188,C
1166180684,GA
1166231183,Start
1166015600,GA
1176597569,C
1166068291,C
1161451724,Start
1166330659,Start
1166332285,Start
1166015162,C
1179063985,GA
1166181615,Start
1175961431,C
1177704424,GA
1170401381,GA
1166331399,GA
1179115497,C
1170401434,C
1171165593,C
1169613003,C
1169077979,C
1166182410,C
1166330387,C
1175866099,C
1170423476,C
1157193660,GA
1157193589,C
1179068458,C
1166066120,GA
1166068299,C
1177840609,Start
1166207535,Start
1171397614,Start
1179293976,C
1166018424,GA
1166066503,GA
1178320175,B
1175861049,C
1174916904,GA
1174134135,C
1176063525,GA
1166066933,GA
1177672253,C
1171484275,GA
1176595841,C
1179643009,B
1171410546,GA
1166209901,GA
1166210310,C
1176597328,C
1178486233,C
1166181046,C
1166206238,GA
1166333641,GA
1166017748,GA
1169996191,C
1178932282,C
1166206802,C
1175097098,C
1171397782,GA
1170397140,GA
1166229931,C
1180410250,C
1180408190,C
1166180744,B
1165750292,C
1166210910,Stub
1170458123,GA
1166069661,C
1166180643,GA
1180199458,C
1167145154,C
1166333653,C
1166015992,GA
1166230538,C
1168504746,C
1177548664,GA
1166017537,C
1169543815,C
1165894003,Start
1180245868,Start
1166180751,GA
1160150220,Stub
1177507522,C
1166334513,Start
1175058619,C
1179156391,C
1166230553,GA
1177394658,GA
1171485655,Start
1171485401,C
1171485317,Start
1171485102,Start
1166182111,C
1166210795,Start
1166230932,Start
1166015900,C
1178641571,GA
1166066921,GA
1179306452,GA
1180148557,C
1174065017,C
1169254473,C
1165906204,B
1178792910,C
1170422883,C
1166210754,Start
1166014786,C
1165645939,C
1179888284,GA
1165650919,GA
1175884163,C
1165747196,C
1166068704,GA
1166068972,GA
1166069409,C
1178251924,GA
1166180142,C
1167026836,Stub
1175149391,C
1169540844,Start
1173162463,Start
1166182744,Start
1166206215,Start
1166207369,C
1150724690,C
1173012814,Start
1173026490,Start
1166229063,C
1166229628,GA
1179432275,C
1166067442,C
1171165691,C
1171391224,Start
1166016077,GA
1174789596,GA
1169845434,GA
1166018096,C
1170434671,C
1172284450,GA
1166068689,GA
1165749258,GA
1166180636,C
1166181434,C
1166182295,C
1166205750,C
1166206132,C
1166206673,GA
1165893474,GA
1176786316,GA
1166332250,C
1166334345,C
1174166925,GA
1174932234,GA
1166484730,C
1166484744,C
1166015346,C
1165646549,C
1166067670,GA
1169796872,GA
1175130213,C
1178641768,GA
1128764986,GA
1166210206,C
1166331509,C
1178580894,B
1179040604,FA
1166015571,GA
1166015807,C
1166016261,GA
1166066312,GA
1175097267,C
1166066772,C
1169846393,C
1172670967,C
1174841134,C
1173176536,B
1170380024,C
1166180875,GA
